seed,variant,prev_train,prev_test,n_stress_train,epv,auc_logit,auc_rf,auc_xgb,rf_beats_logit
191664964,A,0.3333333333333333,0.3484848484848485,26,5.2,0.7937310414560161,0.6986855409504549,0.6380182002022244,0
1662057958,A,0.28205128205128205,0.3787878787878788,22,4.4,0.7512195121951221,0.7521951219512195,0.7326829268292683,1
1405681632,A,0.21794871794871795,0.36363636363636365,17,3.4,0.7658730158730159,0.7311507936507937,0.6587301587301587,0
942484272,A,0.34615384615384615,0.2727272727272727,27,5.4,0.7627314814814815,0.8877314814814814,0.8402777777777778,1
929893138,A,0.3333333333333333,0.36363636363636365,26,5.2,0.7291666666666667,0.8373015873015873,0.7946428571428572,1
1843824993,A,0.2692307692307692,0.22727272727272727,21,4.2,0.7372549019607844,0.8013071895424837,0.7202614379084967,1
184566854,A,0.19230769230769232,0.3333333333333333,15,3.0,0.8171487603305785,0.8460743801652892,0.8119834710743802,1
1497586439,A,0.3333333333333333,0.2727272727272727,26,5.2,0.8148148148148149,0.7488425925925926,0.7013888888888888,0
432652533,A,0.3974358974358974,0.24242424242424243,31,6.2,0.8187500000000001,0.76125,0.72125,0
202244314,A,0.34615384615384615,0.3484848484848485,27,5.4,0.750252780586451,0.7906976744186046,0.8270980788675429,1
1130604998,A,0.28205128205128205,0.3181818181818182,22,4.4,0.8634920634920634,0.8962962962962963,0.8444444444444444,1
2095133046,A,0.2948717948717949,0.36363636363636365,23,4.6,0.8363095238095238,0.8442460317460317,0.7698412698412698,1
1580016184,A,0.2564102564102564,0.2878787878787879,20,4.0,0.8253079507278835,0.7390817469204928,0.7458006718924972,0
1634535063,A,0.32051282051282054,0.36363636363636365,25,5.0,0.7966269841269842,0.7886904761904762,0.7648809523809523,0
1540770720,A,0.3974358974358974,0.2727272727272727,31,6.2,0.8020833333333334,0.78125,0.7488425925925926,0
1688060241,A,0.2692307692307692,0.3181818181818182,21,4.2,0.7756613756613756,0.7428571428571429,0.6814814814814815,0
1102145673,A,0.2564102564102564,0.30303030303030304,20,4.0,0.7880434782608696,0.8282608695652174,0.7586956521739131,1
275121931,A,0.34615384615384615,0.3181818181818182,27,5.4,0.8698412698412699,0.7978835978835979,0.6486772486772487,0
1803345591,A,0.3717948717948718,0.2727272727272727,29,5.8,0.8252314814814815,0.8495370370370371,0.8333333333333333,1
967196436,A,0.24358974358974358,0.2878787878787879,19,3.8,0.8152295632698768,0.8499440089585667,0.8465845464725644,1
1074497556,A,0.2564102564102564,0.3333333333333333,20,4.0,0.9070247933884298,0.7572314049586777,0.7861570247933884,0
796282693,A,0.24358974358974358,0.2878787878787879,19,3.8,0.8846584546472565,0.8521836506159015,0.7928331466965285,0
392022359,A,0.38461538461538464,0.22727272727272727,30,6.0,0.9241830065359478,0.7830065359477124,0.7712418300653595,0
1990212659,A,0.32051282051282054,0.22727272727272727,25,5.0,0.8352941176470589,0.9450980392156862,0.9045751633986928,1
1678403331,A,0.34615384615384615,0.2727272727272727,27,5.4,0.8194444444444444,0.8495370370370372,0.8414351851851851,1
1382689816,A,0.20512820512820512,0.13636363636363635,16,3.2,0.7504873294346979,0.898635477582846,0.8693957115009747,1
864178267,A,0.28205128205128205,0.25757575757575757,22,4.4,0.7779111644657863,0.8427370948379352,0.8091236494597839,1
1766867110,A,0.32051282051282054,0.3333333333333333,25,5.0,0.777892561983471,0.84400826446281,0.7851239669421488,1
1171300113,A,0.3974358974358974,0.30303030303030304,31,6.2,0.8108695652173913,0.7880434782608695,0.7597826086956522,0
952224741,A,0.32051282051282054,0.3181818181818182,25,5.0,0.656084656084656,0.6899470899470899,0.6984126984126985,1
967354525,A,0.32051282051282054,0.2878787878787879,25,5.0,0.8891377379619261,0.8398656215005599,0.793952967525196,0
487991439,A,0.24358974358974358,0.3181818181818182,19,3.8,0.8243386243386244,0.8391534391534392,0.7693121693121693,1
197860369,A,0.32051282051282054,0.3484848484848485,25,5.0,0.7189079878665319,0.7917087967644085,0.7391304347826086,1
1190961761,A,0.2564102564102564,0.24242424242424243,20,4.0,0.86,0.845,0.79375,0
1906728919,A,0.32051282051282054,0.25757575757575757,25,5.0,0.8343337334933973,0.7527010804321729,0.7322929171668667,0
137046513,A,0.2948717948717949,0.18181818181818182,23,4.6,0.7175925925925926,0.7716049382716049,0.7067901234567902,1
1843166519,A,0.28205128205128205,0.25757575757575757,22,4.4,0.822328931572629,0.7539015606242496,0.651860744297719,0
1777324408,A,0.28205128205128205,0.24242424242424243,22,4.4,0.82875,0.82375,0.8049999999999999,0
594336918,A,0.23076923076923078,0.36363636363636365,18,3.6,0.7341269841269842,0.7083333333333334,0.6825396825396826,0
1356488968,A,0.2948717948717949,0.3484848484848485,23,4.6,0.7381193124368048,0.5480283114256825,0.46107178968655205,0
354826746,A,0.2948717948717949,0.3333333333333333,23,4.6,0.7768595041322315,0.7871900826446281,0.7644628099173553,1
1627981025,A,0.3076923076923077,0.2727272727272727,24,4.8,0.7939814814814815,0.8344907407407407,0.7847222222222223,1
1504361615,A,0.2692307692307692,0.3484848484848485,21,4.2,0.8139534883720929,0.8109201213346815,0.8018200202224469,0
761338719,A,0.19230769230769232,0.3333333333333333,15,3.0,0.8997933884297521,0.8739669421487604,0.856404958677686,0
145857092,A,0.20512820512820512,0.2878787878787879,16,3.2,0.8241881298992162,0.8208286674132138,0.7525195968645016,0
2084558134,A,0.32051282051282054,0.36363636363636365,25,5.0,0.7658730158730159,0.8313492063492064,0.7599206349206349,1
957106590,A,0.2692307692307692,0.2878787878787879,21,4.2,0.7894736842105262,0.8421052631578947,0.7558790593505039,1
1917963003,A,0.2692307692307692,0.2727272727272727,21,4.2,0.6851851851851852,0.7407407407407407,0.7002314814814815,1
1455819992,A,0.32051282051282054,0.25757575757575757,25,5.0,0.6986794717887155,0.8595438175270108,0.8007202881152461,1
1671565831,A,0.23076923076923078,0.3484848484848485,18,3.6,0.7441860465116279,0.731041456016178,0.6066734074823054,0
1631871624,A,0.34615384615384615,0.42424242424242425,27,5.4,0.8571428571428571,0.8609022556390977,0.8327067669172932,1
417983442,A,0.32051282051282054,0.24242424242424243,25,5.0,0.8200000000000001,0.83,0.79,1
781482251,A,0.2948717948717949,0.2878787878787879,23,4.6,0.7749160134378499,0.7659574468085106,0.7133258678611422,0
1002275723,A,0.20512820512820512,0.30303030303030304,16,3.2,0.8043478260869565,0.841304347826087,0.8347826086956521,1
1068999196,A,0.2692307692307692,0.25757575757575757,21,4.2,0.7575030012004802,0.7430972388955581,0.7334933973589435,0
94067870,A,0.28205128205128205,0.24242424242424243,22,4.4,0.795,0.865,0.82625,1
1173749072,A,0.3076923076923077,0.3484848484848485,24,4.8,0.8665318503538928,0.9221435793731041,0.9393326592517695,1
331334161,A,0.19230769230769232,0.3181818181818182,15,3.0,0.7502645502645503,0.7873015873015873,0.7703703703703704,1
1596387605,A,0.38461538461538464,0.30303030303030304,30,6.0,0.8326086956521739,0.8065217391304349,0.7978260869565218,0
1466836457,A,0.2564102564102564,0.2878787878787879,20,4.0,0.8040313549832027,0.8286674132138858,0.7838745800671892,1
1981113450,A,0.358974358974359,0.3333333333333333,28,5.6,0.8161157024793388,0.8853305785123966,0.8181818181818181,1
1599364551,A,0.2692307692307692,0.36363636363636365,21,4.2,0.7490079365079365,0.7450396825396826,0.7073412698412698,0
787359109,A,0.21794871794871795,0.2878787878787879,17,3.4,0.799552071668533,0.7928331466965285,0.793952967525196,0
2077711329,A,0.2692307692307692,0.36363636363636365,21,4.2,0.7886904761904762,0.7619047619047619,0.7460317460317459,0
882294417,A,0.24358974358974358,0.30303030303030304,19,3.8,0.816304347826087,0.7684782608695652,0.6739130434782609,0
699704628,A,0.3076923076923077,0.3181818181818182,24,4.8,0.8592592592592592,0.7841269841269842,0.7227513227513227,0
1944623249,A,0.358974358974359,0.30303030303030304,28,5.6,0.682608695652174,0.7108695652173913,0.7141304347826086,1
795556160,A,0.34615384615384615,0.3181818181818182,27,5.4,0.8560846560846561,0.8761904761904762,0.8222222222222222,1
163945743,A,0.41025641025641024,0.2727272727272727,32,6.4,0.8240740740740741,0.8506944444444444,0.8240740740740741,1
1008363426,A,0.3717948717948718,0.2727272727272727,29,5.8,0.769675925925926,0.7638888888888888,0.7175925925925927,0
1708709736,A,0.2692307692307692,0.3181818181818182,21,4.2,0.762962962962963,0.744973544973545,0.7121693121693121,0
406886645,A,0.28205128205128205,0.22727272727272727,22,4.4,0.7843137254901961,0.8522875816993465,0.8431372549019609,1
994157307,A,0.2692307692307692,0.2878787878787879,21,4.2,0.9048152295632699,0.8633818589025756,0.8421052631578947,0
279004308,A,0.32051282051282054,0.36363636363636365,25,5.0,0.7311507936507937,0.7559523809523809,0.7440476190476191,1
1474200732,A,0.3333333333333333,0.3484848484848485,26,5.2,0.7947421638018201,0.7522750252780586,0.6895854398382204,0
1021568550,A,0.2692307692307692,0.24242424242424243,21,4.2,0.85875,0.8875,0.8500000000000001,1
709091226,A,0.16666666666666666,0.3939393939393939,13,2.6,0.8769230769230769,0.8682692307692308,0.8442307692307692,0
487284116,A,0.28205128205128205,0.30303030303030304,22,4.4,0.8358695652173913,0.8228260869565217,0.8,0
1212254291,A,0.2692307692307692,0.3181818181818182,21,4.2,0.855026455026455,0.9047619047619047,0.8941798941798942,1
1438414600,A,0.3333333333333333,0.25757575757575757,26,5.2,0.8043217286914766,0.794717887154862,0.7635054021608644,0
2019291965,A,0.2692307692307692,0.22727272727272727,21,4.2,0.6849673202614378,0.7816993464052288,0.7019607843137254,1
938776597,A,0.2948717948717949,0.25757575757575757,23,4.6,0.8715486194477791,0.8943577430972389,0.9039615846338536,1
345075200,A,0.34615384615384615,0.2878787878787879,27,5.4,0.6954087346024636,0.7614781634938409,0.7558790593505039,1
1788162810,A,0.358974358974359,0.36363636363636365,28,5.6,0.8115079365079365,0.8194444444444444,0.7886904761904762,1
1352408539,A,0.2692307692307692,0.3484848484848485,21,4.2,0.7603640040444893,0.8291203235591507,0.8119312436804853,1
1503807855,A,0.32051282051282054,0.2727272727272727,25,5.0,0.7511574074074073,0.8090277777777778,0.7569444444444444,1
208792607,A,0.32051282051282054,0.3333333333333333,25,5.0,0.8109504132231404,0.7799586776859504,0.7417355371900827,0
670802254,A,0.2564102564102564,0.3333333333333333,20,4.0,0.731404958677686,0.7830578512396694,0.7097107438016529,1
1648932250,A,0.2948717948717949,0.3333333333333333,23,4.6,0.7675619834710744,0.7520661157024794,0.7314049586776858,0
1787264314,A,0.3974358974358974,0.21212121212121213,31,6.2,0.7156593406593407,0.7513736263736265,0.7362637362637363,1
934620677,A,0.2948717948717949,0.24242424242424243,23,4.6,0.81875,0.8375,0.78625,1
1728218298,A,0.3076923076923077,0.2878787878787879,24,4.8,0.8924972004479284,0.8779395296752519,0.8958566629339306,0
1807519525,A,0.28205128205128205,0.3333333333333333,22,4.4,0.8295454545454546,0.8212809917355371,0.796487603305785,0
832103482,A,0.21794871794871795,0.22727272727272727,17,3.4,0.8379084967320262,0.7830065359477123,0.8261437908496732,0
1928628491,A,0.28205128205128205,0.25757575757575757,22,4.4,0.8631452581032413,0.8775510204081632,0.8271308523409364,1
619179888,A,0.3076923076923077,0.2727272727272727,24,4.8,0.7627314814814814,0.7395833333333334,0.6851851851851851,0
514446424,A,0.1794871794871795,0.3181818181818182,14,2.8,0.8349206349206348,0.8592592592592593,0.8095238095238095,1
1465647934,A,0.2564102564102564,0.2878787878787879,20,4.0,0.8667413213885777,0.8891377379619261,0.8118701007838746,1
1367435608,A,0.32051282051282054,0.3939393939393939,25,5.0,0.775,0.8221153846153846,0.7807692307692308,1
300116173,A,0.3076923076923077,0.2878787878787879,24,4.8,0.832026875699888,0.8689809630459127,0.7995520716685329,1
1788288546,A,0.3076923076923077,0.19696969696969696,24,4.8,0.8577648766328012,0.8577648766328012,0.8621190130624092,0
429299595,A,0.358974358974359,0.36363636363636365,28,5.6,0.8501984126984127,0.9117063492063493,0.8432539682539681,1
1728507683,A,0.3717948717948718,0.3787878787878788,29,5.8,0.7736585365853659,0.8507317073170733,0.8448780487804879,1
15810353,A,0.2564102564102564,0.2878787878787879,20,4.0,0.6707726763717805,0.748040313549832,0.7088465845464724,1
1711206424,A,0.3333333333333333,0.21212121212121213,26,5.2,0.7664835164835164,0.7472527472527473,0.7156593406593406,0
1689907232,A,0.32051282051282054,0.3181818181818182,25,5.0,0.7746031746031746,0.8402116402116402,0.7851851851851852,1
1675819613,A,0.358974358974359,0.3333333333333333,28,5.6,0.9121900826446281,0.9318181818181818,0.868801652892562,1
1427756342,A,0.2564102564102564,0.3333333333333333,20,4.0,0.6663223140495868,0.7107438016528926,0.6973140495867768,1
1012682731,A,0.3076923076923077,0.24242424242424243,24,4.8,0.8524999999999999,0.86375,0.83375,1
1514331119,A,0.2948717948717949,0.30303030303030304,23,4.6,0.8532608695652174,0.825,0.7869565217391304,0
595114158,A,0.28205128205128205,0.24242424242424243,22,4.4,0.8425,0.8400000000000001,0.8775,0
1676602827,A,0.2948717948717949,0.30303030303030304,23,4.6,0.8293478260869565,0.8239130434782609,0.8228260869565218,0
1193242762,A,0.16666666666666666,0.2878787878787879,13,2.6,0.7737961926091825,0.832026875699888,0.8062709966405374,1
985514123,A,0.24358974358974358,0.2727272727272727,19,3.8,0.78125,0.7604166666666666,0.7581018518518519,0
1085781156,A,0.3333333333333333,0.21212121212121213,26,5.2,0.7747252747252746,0.7870879120879122,0.717032967032967,1
1221362418,A,0.28205128205128205,0.30303030303030304,22,4.4,0.7282608695652175,0.7358695652173913,0.7597826086956522,1
80020205,A,0.28205128205128205,0.25757575757575757,22,4.4,0.7779111644657863,0.7334933973589436,0.7082833133253301,0
300211767,A,0.3076923076923077,0.30303030303030304,24,4.8,0.7728260869565218,0.7097826086956521,0.7141304347826086,0
527166791,A,0.38461538461538464,0.19696969696969696,30,6.0,0.7866473149492017,0.8476052249637156,0.83744557329463,1
245951460,A,0.2564102564102564,0.25757575757575757,20,4.0,0.6758703481392557,0.7286914765906363,0.7166866746698679,1
944062963,A,0.41025641025641024,0.3181818181818182,32,6.4,0.856084656084656,0.7502645502645503,0.7185185185185186,0
1435384430,A,0.28205128205128205,0.30303030303030304,22,4.4,0.8717391304347826,0.8434782608695652,0.7706521739130434,0
1405375275,A,0.28205128205128205,0.36363636363636365,22,4.4,0.8115079365079365,0.8422619047619048,0.8065476190476191,1
1011671399,A,0.28205128205128205,0.3484848484848485,22,4.4,0.7532861476238625,0.8422649140546006,0.8230535894843276,1
1836270334,A,0.20512820512820512,0.25757575757575757,16,3.2,0.8031212484993997,0.7611044417767107,0.7911164465786314,0
1213835295,A,0.2692307692307692,0.3484848484848485,21,4.2,0.8240647118301314,0.839231547017189,0.8159757330637007,1
170075129,A,0.32051282051282054,0.2727272727272727,25,5.0,0.84375,0.8252314814814815,0.8078703703703703,0
1642822537,A,0.3076923076923077,0.25757575757575757,24,4.8,0.6974789915966386,0.6338535414165667,0.602641056422569,0
1233945443,A,0.24358974358974358,0.30303030303030304,19,3.8,0.8130434782608695,0.7945652173913044,0.7782608695652173,0
1363047213,A,0.34615384615384615,0.24242424242424243,27,5.4,0.75875,0.74,0.72625,0
1214129971,A,0.2564102564102564,0.3181818181818182,20,4.0,0.7682539682539682,0.744973544973545,0.7005291005291004,0
1188802710,A,0.3333333333333333,0.2878787878787879,26,5.2,0.7323628219484882,0.7872340425531915,0.7536394176931692,1
194489917,A,0.24358974358974358,0.25757575757575757,19,3.8,0.8979591836734694,0.8547418967587035,0.7418967587034814,0
1200888233,A,0.23076923076923078,0.3939393939393939,18,3.6,0.8307692307692308,0.8605769230769231,0.8413461538461539,1
1707061845,A,0.21794871794871795,0.21212121212121213,17,3.4,0.8131868131868132,0.7939560439560439,0.7486263736263736,0
652727865,A,0.32051282051282054,0.2727272727272727,25,5.0,0.6886574074074073,0.7592592592592592,0.7696759259259259,1
1294585271,A,0.3333333333333333,0.4090909090909091,26,5.2,0.9154795821462487,0.8480531813865146,0.7996201329534662,0
66180795,A,0.16666666666666666,0.3181818181818182,13,2.6,0.693121693121693,0.7481481481481482,0.7354497354497355,1
746248854,A,0.2948717948717949,0.36363636363636365,23,4.6,0.9027777777777777,0.9176587301587301,0.9305555555555555,1
937843452,A,0.1282051282051282,0.3333333333333333,10,2.0,0.865702479338843,0.7386363636363636,0.6973140495867769,0
2110414631,A,0.3333333333333333,0.36363636363636365,26,5.2,0.7212301587301587,0.7311507936507936,0.6537698412698413,1
460817075,A,0.32051282051282054,0.2727272727272727,25,5.0,0.84375,0.875,0.8194444444444444,1
593883019,A,0.3333333333333333,0.3333333333333333,26,5.2,0.8543388429752066,0.84400826446281,0.7861570247933884,0
877308582,A,0.15384615384615385,0.30303030303030304,12,2.4,0.8119565217391305,0.7999999999999999,0.8347826086956521,0
2131733184,A,0.2692307692307692,0.2727272727272727,21,4.2,0.855324074074074,0.8171296296296295,0.7731481481481481,0
1832669144,A,0.28205128205128205,0.30303030303030304,22,4.4,0.7652173913043478,0.7532608695652174,0.7565217391304347,0
74502574,A,0.2692307692307692,0.21212121212121213,21,4.2,0.8708791208791209,0.8695054945054945,0.8392857142857143,0
502381220,A,0.19230769230769232,0.3939393939393939,15,3.0,0.760576923076923,0.8576923076923076,0.8634615384615385,1
1764532445,A,0.28205128205128205,0.3333333333333333,22,4.4,0.790289256198347,0.8223140495867769,0.7706611570247934,1
125204184,A,0.21794871794871795,0.21212121212121213,17,3.4,0.8392857142857143,0.8928571428571428,0.8804945054945055,1
1837539165,A,0.3333333333333333,0.4393939393939394,26,5.2,0.7809878844361603,0.8285181733457596,0.7642124883504193,1
604267306,A,0.3333333333333333,0.36363636363636365,26,5.2,0.8968253968253969,0.8630952380952381,0.8531746031746033,0
1970642946,A,0.3333333333333333,0.30303030303030304,26,5.2,0.8130434782608695,0.7858695652173914,0.8043478260869565,0
630487793,A,0.4358974358974359,0.25757575757575757,34,6.8,0.7575030012004802,0.7767106842737095,0.7070828331332533,1
932688238,A,0.358974358974359,0.3181818181818182,28,5.6,0.7365079365079364,0.8761904761904762,0.8158730158730158,1
1421454891,A,0.2692307692307692,0.22727272727272727,21,4.2,0.715032679738562,0.7437908496732026,0.7542483660130719,1
271185814,A,0.3333333333333333,0.30303030303030304,26,5.2,0.816304347826087,0.7956521739130435,0.732608695652174,0
1196217438,A,0.2948717948717949,0.30303030303030304,23,4.6,0.7380434782608696,0.7923913043478261,0.7652173913043478,1
1084512518,A,0.2564102564102564,0.36363636363636365,20,4.0,0.7837301587301587,0.8214285714285714,0.746031746031746,1
1683408585,A,0.20512820512820512,0.42424242424242425,16,3.2,0.7142857142857142,0.7020676691729324,0.6766917293233083,0
2139123294,A,0.2692307692307692,0.25757575757575757,21,4.2,0.7827130852340937,0.7983193277310925,0.7683073229291717,1
